exporter,importer,commodity,mode,year,source,value_usd
Serbia,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,12207098.0
Serbia,Moldova,Fertilizer,Sea,2022,UN Comtrade public preview,12042804.0
Germany,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,11952916.426
Tunisia,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,11858773.058
Trinidad and Tobago,Colombia,Fertilizer,Road,2022,UN Comtrade public preview,11821680.12
Mali,Burkina Faso,Fertilizer,Road,2022,UN Comtrade public preview,11813054.416
Switzerland,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,11090439.008
Jordan,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,11026762.0
Spain,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,10586554.91
Brazil,Bolivia,Fertilizer,Road,2022,UN Comtrade public preview,10581288.0
Morocco,Burkina Faso,Fertilizer,Road,2022,UN Comtrade public preview,10475451.467
Serbia,Romania,Fertilizer,Road,2022,UN Comtrade public preview,10470874.62
Estonia,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,10346119.62
Austria,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,10338274.898
Poland,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,10158368.46
Poland,Romania,Fertilizer,Rail,2022,UN Comtrade public preview,9974122.18
Croatia,Romania,Fertilizer,Road,2022,UN Comtrade public preview,9812167.9
Chile,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,9805612.761
Japan,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,9541409.071
Turkey,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,9274458.0
Lithuania,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,9240645.0
Venezuela,Colombia,Fertilizer,Road,2022,UN Comtrade public preview,9136420.12
Romania,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,9054066.0
Iran,Armenia,Fertilizer,Road,2022,UN Comtrade public preview,8913764.68
South Africa,Mauritius,Fertilizer,Sea,2022,UN Comtrade public preview,8847734.232
Belarus,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,8713994.0
